Артикул;Наименование;Единица_измерения;Количество;Основной_поставщик;Изображение;Тип_фурнитуры;Закупочная_цена;Вес
C121201;Петля Mini 2 стандартная ;шт;2951;;;Петли;5,50;
C121203;Петля Mini 2 угловая ;шт;1984;;;Петли;7,16;
C121208;Петля Mini 2 прямая ;шт;1140;;;Петли;7,16;
C123150;Петля Mini 2 для стекла стандартная ;шт;152;;;Петли;5,50;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;161;;;Петли;12,41;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;1885;;;Петли;12,41;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;720;;;Петли;15,46;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;1684;;;Петли;12,41;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;729;;;Петли;12,41;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;537;;;Петли;12,41;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;644;;;Петли;12,41;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;826;;;Петли;12,41;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;2171;;;Петли;13,96;
C123150подсаморез;Петля стандартная накладная площадка под саморез;компл;792;;;Петли;13,96;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;572;;;Петли;12,41;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;1003;;;Петли;12,41;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;1723;;;Петли;15,46;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;1908;;;Петли;12,41;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;317;;;Петли;12,41;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;1871;;;Петли;12,41;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;1654;;;Петли;12,41;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;1365;;;Петли;12,41;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;2476;;;Петли;13,96;
C123150севровинтом;Петля стандартная накладная площадка с евровинтами;компл;1663;;;Петли;13,96;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;1400;;;Петли;17,91;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;2627;;;Петли;17,91;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;1408;;;Петли;20,96;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;1096;;;Петли;17,91;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;2882;;;Петли;17,91;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;725;;;Петли;17,91;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;2014;;;Петли;17,91;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;452;;;Петли;17,91;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;1098;;;Петли;19,46;
C123152подсаморез;Петля стандартная вкладная площадка под саморез;компл;161;;;Петли;19,46;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1609;;;Петли;17,91;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1137;;;Петли;17,91;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;2647;;;Петли;20,96;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1692;;;Петли;17,91;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1477;;;Петли;17,91;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1983;;;Петли;17,91;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1901;;;Петли;17,91;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1489;;;Петли;17,91;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;1215;;;Петли;19,46;
C123152севровинтом;Петля стандартная вкладная площадка с евровинтами;компл;134;;;Петли;19,46;
C123153;Петля Mini 2 для стекла угловая ;шт;941;;;Петли;8,50;
C123153подсаморез;Петля угловая ;компл;837;;;Петли;15,41;
C123153подсаморез;Петля угловая ;компл;1985;;;Петли;15,41;
C123153подсаморез;Петля угловая ;компл;333;;;Петли;18,46;
C123153подсаморез;Петля угловая ;компл;2862;;;Петли;15,41;
C123153подсаморез;Петля угловая ;компл;723;;;Петли;15,41;
C123153подсаморез;Петля угловая ;компл;2003;;;Петли;15,41;
C123153подсаморез;Петля угловая ;компл;100;;;Петли;15,41;
C123153подсаморез;Петля угловая ;компл;2543;;;Петли;15,41;
C123153подсаморез;Петля угловая ;компл;680;;;Петли;16,96;
C123153подсаморез;Петля угловая ;компл;2650;;;Петли;16,96;
C123153севровинтом;Петля угловая ;компл;417;;;Петли;15,41;
C123153севровинтом;Петля угловая ;компл;1987;;;Петли;15,41;
C123153севровинтом;Петля угловая ;компл;2484;;;Петли;18,46;
C123153севровинтом;Петля угловая ;компл;582;;;Петли;15,41;
C123153севровинтом;Петля угловая ;компл;2294;;;Петли;15,41;
C123153севровинтом;Петля угловая ;компл;545;;;Петли;15,41;
C123153севровинтом;Петля угловая ;компл;2060;;;Петли;15,41;
C123153севровинтом;Петля угловая ;компл;2293;;;Петли;15,41;
C123153севровинтом;Петля угловая ;компл;2641;;;Петли;16,96;
C123153севровинтом;Петля угловая ;компл;950;;;Петли;16,96;
C123158;Петля Mini 2 для стекла прямая ;шт;1948;;;Петли;8,50;
C123158подсаморез;Петля прямая ;компл;455;;;Петли;15,41;
C123158подсаморез;Петля прямая ;компл;1406;;;Петли;15,41;
C123158подсаморез;Петля прямая ;компл;1505;;;Петли;18,46;
C123158подсаморез;Петля прямая ;компл;1125;;;Петли;15,41;
C123158подсаморез;Петля прямая ;компл;50;;;Петли;15,41;
C123158подсаморез;Петля прямая ;компл;778;;;Петли;15,41;
C123158подсаморез;Петля прямая ;компл;1557;;;Петли;15,41;
C123158подсаморез;Петля прямая ;компл;2633;;;Петли;15,41;
C123158подсаморез;Петля прямая ;компл;345;;;Петли;16,96;
C123158подсаморез;Петля прямая ;компл;2354;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;2195;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;2192;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;154;;;Петли;18,46;
C123158севровинтом;Петля прямая ;компл;2086;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;534;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;1055;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;448;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;2417;;;Петли;15,41;
C123158севровинтом;Петля прямая ;компл;1799;;;Петли;16,96;
C123158севровинтом;Петля прямая ;компл;2259;;;Петли;16,96;
C91505BW;Петля Anyway Clip 9 DIGIT стандартная ;шт;183;;;Петли;5,50;
C95028LH;Петля Slide;шт;2369;;;Петли;5,00;
C95028MH;Петля Slide;шт;1892;;;Петли;5,00;
C95304C;Петля Slide;шт;621;;;Петли;21,50;
C95350A;Петля Slide;шт;1101;;;Петли;4,50;
C95350B;Петля Slide;шт;2907;;;Петли;4,50;
E20086D;Петля Harmony со встроенным доводчиком угловая ;шт;2491;;;Петли;14,64;
E21087C;Петля Harmony со встроенным доводчиком стандартная ;шт;1010;;;Петли;26,23;
F078073812;Петля мини E9 вкладная;шт;2145;;;Петли;30,00;
G2264;Заглушка декоративная Mini 2 круглая;шт;97;;;Петли;3,05;
G2265;Заглушка декоративная Mini 2 круглая;шт;1262;;;Петли;3,05;
G226L;Заглушка декоративная Mini 2 круглая;шт;2108;;;Петли;3,05;
G226V;Заглушка декоративная Mini 2 круглая;шт;382;;;Петли;3,05;
G2274;Заглушка декоративная Mini 2 D;шт;204;;;Петли;3,05;
G2275;Заглушка декоративная Mini 2 D;шт;1089;;;Петли;3,05;
G227L;Заглушка декоративная Mini 2 D;шт;1889;;;Петли;3,05;
GA26L;Кольцо крепежное Mini 2 круглое;шт;1433;;;Петли;1,68;
GA27L;Кольцо крепежное Mini 2 D;шт;720;;;Петли;1,68;
H90086DW;Петля Anyway Clip 9 угловая ;шт;522;;;Петли;4,50;
H90086NW;Петля Anyway Clip 9 угловая ;шт;729;;;Петли;4,5;
H95086DH;Петля Slide;шт;848;;;Петли;5,00;
H95086EH;Петля Slide;шт;1228;;;Петли;5,00;
H95086NH;Петля Slide;шт;2553;;;Петли;5,00;
H95086PH;Петля Slide;шт;1730;;;Петли;5,00;
H95087AH;Петля Slide;шт;2230;;;Петли;11,00;
H95087BH;Петля Slide;шт;2947;;;Петли;4,50;
V220;Винт для кольца Mini 2;шт;2796;;;Петли;0,25;
W90086DW;Петля Anyway Clip 9 угловая ;шт;1397;;;Петли;4,50;
W95086D;Петля Slide;шт;2961;;;Петли;7,00;
W95086N;Петля Slide;шт;2274;;;Петли;7,00;
W95087A;Петля Slide;шт;1241;;;Петли;4,50;
W95087B;Петля Slide;шт;630;;;Петли;4,50;
2021BLACK;Компл;компл;905;;;Петли;58,81;
2023BRASS;Компл;компл;214;;;Петли;5,00;
3005CR;Компл;компл;1592;;;Петли;321,59;
3005GD;Компл;компл;2260;;;Петли;115,00;
3005MN;Компл;компл;1730;;;Петли;321,59;
40107020HD;Петля под саморез для откидной створки;шт;560;;;Петли;201,30;
40107020HDCH;Петля под саморез для откидной створки;шт;1444;;;Петли;64,25;
A04;Петля четыре;шт;291;;;Петли;98,25;
C010000801;KIMANA Адаптер высотой  ;шт;2080;;;Петли;42,48;
C010000802;KIMANA Адаптер высотой ;шт;2041;;;Петли;169632,00;
C010000881;KIMANA Петля для откидны;компл;385;;;Петли;306,04;
CE01;Петля карточная;шт;687;;;Петли;34,55;
CF0000AH;Линейная установочная площадка CF ;шт;2701;;;Петли;24,74;
CF0000BH;Крестовая установочная площадка CF ;шт;131;;;Петли;24,67;
CF01024CL;Петля CF для стекл;шт;1699;;;Петли;310,99;
CF01024NP;Петля CF для стекл;шт;231;;;Петли;310,99;
CF01025CL;Петля CF для стекл;шт;2444;;;Петли;310,99;
CF01025NP;Петля CF для стекл;шт;1320;;;Петли;310,99;
CIK000;Петля потайная бронза D;шт;977;;;Петли;75,13;
CIK001;Петля потайная бронза D2;шт;1063;;;Петли;86,02;
CIK002;Петля потайная бронза D;шт;2244;;;Петли;96,90;
CIK003;Петля потайная бронза D6;шт;2742;;;Петли;118,67;
CIK004;Петля потайная бронза D;шт;2644;;;Петли;141,57;
D;Ручка для стекл;шт;2793;;;Петли;43,40;
D;Компл;компл;1855;;;Петли;219,74;
D;Ручка для стекл;шт;1968;;;Петли;15,00;
D;Ручка для стекл;шт;1837;;;Петли;109,55;
D;Компл;компл;2572;;;Петли;52,50;
D;Компл;компл;815;;;Петли;302,37;
D;Компл;компл;621;;;Петли;302,37;
F150000006;MB Чашка для петель одношарнирны;шт;1382;;;Петли;102,27;
F150000007;MB;компл;1410;;;Петли;18723132,00;
F150000008;MB;компл;2707;;;Петли;187,23;
F150000013;MB;компл;2249;;;Петли;187,23;
RD14E;Петля для откидны;шт;1193;;;Петли;86,02;
RD14EBR;Петля для откидны;шт;2068;;;Петли;86,02;
ZS1002Л;Петля карточная бронза ;шт;830;;;Петли;72,80;
ZS1002П;Петля карточная бронза ;шт;1433;;;Петли;72,80;
ZS9004Б;Компл;упак;1060;;;Петли;3180,32;
ZS9004;Компл;упак;1882;;;Петли;5464,77;
ZS9005;Компл;компл;1160;;;Петли;33,00;
ZS9005Б;Компл;компл;452;;;Петли;30,00;
ZS9008;Компл;компл;2489;;;Петли;115,07;
ZS9008Б;Компл;компл;245;;;Петли;72,66;
ZS9030Б;Компл;компл;118;;;Петли;34,00;
